År;Måned;MC og Bil;Bil 3-6m;Bil+anhænger;Små lastbiler;Store lastbiler;Lastbiler over 20 meter;Busser;Total
2024;7;10886;1095667;59208;28610;112438;10000;2290;1319099
2024;6;11204;1078069;43834;22903;116910;10889;2582;1286391
2024;5;11326;1042000;38205;17836;123699;11445;3006;1247517
2024;4;8399;897528;28163;13368;121268;11544;2562;1082832
2024;3;5104;920578;26877;11997;110915;10350;2908;1088729
2024;2;4266;763599;20492;10464;110506;9830;2245;921402
2024;1;4513;698576;17715;10227;108681;9895;2127;851734
2023;12;3805;871574;18132;9871;98300;8998;2564;1013244
2023;11;4935;885245;24010;12143;115904;10837;2600;1055674
2023;10;5933;968435;30217;13835;116369;10591;3067;1148447
2023;9;11123;996684;36741;17363;112329;10003;3818;1188061
2023;8;12262;1124942;55325;27087;116506;10436;3525;1350083
2023;7;11107;1150625;62934;27904;101442;8692;6226;1368930
2023;6;13504;1078215;45205;23103;121981;10086;3730;1295824
2023;5;11839;1048442;38172;17363;118510;10068;3535;1247929
2023;4;10194;966303;30774;13280;102953;8755;4359;1136618
2023;3;6098;869302;25262;12597;122818;10458;2448;1048983
2023;2;4641;739135;20615;10445;104700;8801;1950;890287
2023;1;5327;733048;19624;10171;107999;9314;1787;887270
2022;12;4290;857637;19439;10718;104412;8764;2042;1007302
2022;11;5653;846127;23627;11990;119681;10237;2298;1019613
2022;10;6574;942275;30796;13457;115325;10139;2878;1121444
2022;9;9793;964455;35581;17355;119898;10419;3576;1161077
2022;8;13804;1115452;54114;26584;118551;10331;3121;1341957
2022;7;12440;1082391;63743;27348;104277;8727;3290;1302216
2022;6;14290;1033301;43014;21727;124033;10330;3595;1250290
2022;5;12821;1022770;36125;17168;123888;9978;3490;1226240
2022;4;10012;938171;30798;13675;111455;9285;3094;1116490
2022;3;7301;857526;25323;13138;130452;10829;2495;1047064
2022;2;5344;717940;20406;10854;107289;8622;1593;872048
2022;1;5460;626814;19279;10506;109136;8719;1241;781155
2021;12;5201;817829;18979;11026;108994;8905;2020;972954
2021;11;6787;889795;25518;12729;125340;10279;2568;1073016
2021;10;7814;1028870;31372;13556;116370;9779;3216;1210977
2021;9;14639;1045694;37173;15974;120655;10289;3659;1248083
2021;8;13578;1147168;53428;19843;112692;9756;3098;1359563
2021;7;11906;1142612;59580;17335;107058;9022;1953;1349466
2021;6;13870;967878;36956;14196;126672;10669;2325;1172566
2021;5;10964;873112;33091;11668;118079;10011;1454;1058379
2021;4;7750;720205;28246;10615;112209;9620;819;889464
2021;3;6432;650225;26132;11585;126940;10880;547;832741
2021;2;4494;524760;18222;9648;101301;8422;433;667280
2021;1;4535;462086;17834;9511;99363;7924;429;601682
2020;12;4944;655553;18071;10176;100998;8766;575;799083
2020;11;7266;703335;21429;10523;111703;9417;675;864348
2020;10;8480;879062;29210;11466;110902;9608;1698;1050426
2020;9;11704;898048;31610;12086;112951;9312;2225;1077936
2020;8;14075;1065911;43317;12403;105238;8728;2148;1251820
2020;7;11010;1107444;52171;11130;101456;8033;2354;1293598
2020;6;12166;836596;31908;10664;112327;8895;1391;1013947
2020;5;9828;663828;27173;9165;105970;8208;588;824760
2020;4;6278;420491;20845;8415;104382;8152;249;568812
2020;3;6033;532328;18352;9649;115695;8523;1521;692101
2020;2;7152;764427;17744;8853;100998;7315;2587;909076
2020;1;8174;745555;17436;9226;105605;7921;2825;896742
2019;12;6287;868898;17066;9012;91709;7186;2928;1003086
2019;11;7897;880117;22321;10554;107908;8133;3343;1040273
2019;10;8944;947828;29177;11567;115936;8631;3663;1125746
2019;9;12512;951932;34713;12157;108699;8534;4181;1132728
2019;8;16585;1081434;54380;14811;107569;8555;4550;1287884
2019;7;15360;1055236;67861;16533;104029;8282;3840;1271141
2019;6;16592;1058662;45782;13989;104796;8346;4601;1252768
2019;5;13666;1036355;36072;12214;114893;8951;4456;1226607
2019;4;11929;951891;31443;10734;106788;8327;5918;1127030
2019;3;8852;874977;24593;10245;106492;8313;3820;1037292
2019;2;7103;739438;19778;8924;96345;7232;3036;881856
2019;1;7780;732182;18802;9637;105391;7797;3084;884673
2018;12;6752;866641;18235;8576;87210;6673;3442;997529
2018;11;8905;880372;23865;10710;110787;8526;3652;1046817
2018;10;10461;946581;29869;11451;114713;8987;4113;1126175
2018;9;12510;959707;35094;11748;103534;8178;4811;1135582
2018;8;16126;1075864;54215;14531;109301;8702;5084;1283823
2018;7;16310;1026479;65709;15293;98490;7751;4589;1234621
2018;6;17360;1006795;43057;13599;107613;8520;4538;1201482
2018;5;16653;997854;36813;12169;114013;9108;4834;1191444
2018;4;13699;906019;28318;10150;104184;7965;4149;1074484
2018;3;8136;857020;22545;10167;101499;7604;4142;1011113
2018;2;7312;717308;18385;8400;92622;7324;3112;854463
2018;1;8641;729692;18682;9030;101997;7804;2746;878592
2017;12;7664;851765;18004;8431;89704;7065;3293;985926
2017;11;9704;855113;23112;9858;108790;8488;3193;1018258
2017;10;10251;943356;28470;10231;106725;8269;3648;1110950
2017;9;13042;934392;33731;11271;102692;8044;4117;1107289
2017;8;16147;1053959;52307;13250;105977;8404;4198;1254242
2017;7;13966;1021858;65006;13310;92429;7057;4420;1218046
2017;6;16232;1000615;42627;12679;107134;8120;4342;1191749
2017;5;15782;983680;34588;10777;109708;8293;3782;1166610
2017;4;10651;896470;30117;8853;93140;7051;3801;1050083
2017;3;10578;845875;23393;9749;110823;8603;3331;1012352
2017;2;7539;697491;18184;7746;89435;7234;2795;830424
2017;1;8306;701010;18095;7994;93649;7405;2438;838897
2016;12;7152;839546;18136;7841;90213;7610;3222;973720
2016;11;8406;828544;21521;9240;102700;9020;3225;982656
2016;10;9463;908137;27980;9450;97419;8686;3482;1064617
2016;9;14202;907708;33253;10685;100859;8834;3960;1079501
2016;8;16516;1017585;51311;12168;100177;8567;4098;1210422
2016;7;14213;1043008;64686;11919;87824;7304;4277;1233231
2016;6;16061;975046;39356;11838;104323;8522;4390;1159536
2016;5;15267;970016;34270;10108;100955;8522;6159;1145297
2016;4;12443;845386;26052;8960;97881;8109;3306;1002137
2016;3;8087;834857;24287;8597;96496;7756;3388;983468
2016;2;6661;704761;18575;8130;90021;7116;2564;837828
2016;1;6597;644638;15816;7363;85037;6686;2464;768601
2015;12;5920;805060;16691;7700;86459;7215;3274;932319
2015;11;7372;794829;19735;9011;93908;7842;3539;936236
2015;10;9201;880575;26940;9778;96082;7973;3454;1034003
2015;9;11079;862832;30110;10389;97146;7970;3736;1023262
2015;8;16962;997753;49333;11547;92473;7118;4159;1179345
2015;7;12832;968516;62705;12231;90897;6840;3475;1157496
2015;6;13176;920095;38778;11369;100192;7240;3635;1094485
