﻿Stedtype;StedID;Stedtekst;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Type;Medie;Vandområde;Dataejer;Ansvarlig Myndighed;Link;Dato;Måling nr;Undersøgelsestype;Målested type;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Prøvetype;Status;Analysefraktion;CASnr;ScKode;Stofparameter;Resultat-attribut;Resultat;Enhed;Kvantifikationsgrænse;Detektionsgrænse;Kvalitetsmærke
Renseanlæg;8B6C3E21-8EA3-462D-8D3B-080D9F38894D;HCRSyd - Slåenbækken, Solrødgård;32;705025,3318529982;6199980,319069645;Hillerød;Region Hovedstaden;Renseanlæg;Renseanlæg;Slåenbækken;HILLERØD SPILDEVAND A/S;Hillerød kommune;https://puls.miljoeportal.dk/wwtps/8b6c3e21-8ea3-462d-8d3b-080d9f38894d/examination-details/15f1a896-2d59-432f-8a14-f6a6477513b9;08-08-2024;2093136699;;Udløb;HCRSyd - Slåenbækken Udløb;32;704685,9999985459;6199950,000126629;Flowproportional prøve;Godkendt;Opløst - filtrat fra filtrering;;241;Ammoniak+ammonium-N;;0,29;mg/l;;0,03;2
Renseanlæg;8B6C3E21-8EA3-462D-8D3B-080D9F38894D;HCRSyd - Slåenbækken, Solrødgård;32;705025,3318529982;6199980,319069645;Hillerød;Region Hovedstaden;Renseanlæg;Renseanlæg;Slåenbækken;HILLERØD SPILDEVAND A/S;Hillerød kommune;https://puls.miljoeportal.dk/wwtps/8b6c3e21-8ea3-462d-8d3b-080d9f38894d/examination-details/15f1a896-2d59-432f-8a14-f6a6477513b9;08-08-2024;2093136699;;Udløb;HCRSyd - Slåenbækken Udløb;32;704685,9999985459;6199950,000126629;Flowproportional prøve;Godkendt;Total;;13;pH;;7,7;pH;;0;2
Renseanlæg;8B6C3E21-8EA3-462D-8D3B-080D9F38894D;HCRSyd - Slåenbækken, Solrødgård;32;705025,3318529982;6199980,319069645;Hillerød;Region Hovedstaden;Renseanlæg;Renseanlæg;Slåenbækken;HILLERØD SPILDEVAND A/S;Hillerød kommune;https://puls.miljoeportal.dk/wwtps/8b6c3e21-8ea3-462d-8d3b-080d9f38894d/examination-details/15f1a896-2d59-432f-8a14-f6a6477513b9;08-08-2024;2093136699;;Udløb;HCRSyd - Slåenbækken Udløb;32;704685,9999985459;6199950,000126629;Flowproportional prøve;Godkendt;Opløst - filtrat fra filtrering;;256;Orthophosphat-P;;0,04;mg/l;;0,005;2
Renseanlæg;8B6C3E21-8EA3-462D-8D3B-080D9F38894D;HCRSyd - Slåenbækken, Solrødgård;32;705025,3318529982;6199980,319069645;Hillerød;Region Hovedstaden;Renseanlæg;Renseanlæg;Slåenbækken;HILLERØD SPILDEVAND A/S;Hillerød kommune;https://puls.miljoeportal.dk/wwtps/8b6c3e21-8ea3-462d-8d3b-080d9f38894d/examination-details/15f1a896-2d59-432f-8a14-f6a6477513b9;08-08-2024;2093136699;;Udløb;HCRSyd - Slåenbækken Udløb;32;704685,9999985459;6199950,000126629;Flowproportional prøve;Godkendt;Total;;7;Bundfald eft. 2 tim.;<;0,1;ml/l;;0,1;2
Renseanlæg;6C2A0209-2B8C-46B4-BA31-0DC1FE232C37;Svaneke Renseanlæg;32;891540,9996375428;6125519,999413203;Bornholm;Region Hovedstaden;Renseanlæg;Renseanlæg;Østersøen;BORNHOLMS SPILDEVAND A/S;Bornholms Regionskommune;https://puls.miljoeportal.dk/wwtps/6c2a0209-2b8c-46b4-ba31-0dc1fe232c37/examination-details/80823128-b9ec-4bf6-9a9e-70a630c90575;11-08-2024;2146713851;;Udløb;Svaneke Renseanlæg Afløb;32;891790,999635821;6124957,999411327;Mængdeproportional prøve;Afventer kontrol;Total;;261;Phosphor, total-P;;0,31;mg/l;;0,01;1
Renseanlæg;6C2A0209-2B8C-46B4-BA31-0DC1FE232C37;Svaneke Renseanlæg;32;891540,9996375428;6125519,999413203;Bornholm;Region Hovedstaden;Renseanlæg;Renseanlæg;Østersøen;BORNHOLMS SPILDEVAND A/S;Bornholms Regionskommune;https://puls.miljoeportal.dk/wwtps/6c2a0209-2b8c-46b4-ba31-0dc1fe232c37/examination-details/80823128-b9ec-4bf6-9a9e-70a630c90575;11-08-2024;2146713851;;Udløb;Svaneke Renseanlæg Afløb;32;891790,999635821;6124957,999411327;Mængdeproportional prøve;Afventer kontrol;Total;;13;pH;;8;pH;;2;1
Renseanlæg;6C2A0209-2B8C-46B4-BA31-0DC1FE232C37;Svaneke Renseanlæg;32;891540,9996375428;6125519,999413203;Bornholm;Region Hovedstaden;Renseanlæg;Renseanlæg;Østersøen;BORNHOLMS SPILDEVAND A/S;Bornholms Regionskommune;https://puls.miljoeportal.dk/wwtps/6c2a0209-2b8c-46b4-ba31-0dc1fe232c37/examination-details/505ebecc-1389-4f4d-b492-eb6daa4d7d29;11-08-2024;1485869727;;Indløb;Svaneke Renseanlæg Tilløb;32;891540,9996375428;6125519,999413203;Mængdeproportional prøve;Afventer kontrol;Total;;261;Phosphor, total-P;;5,7;mg/l;;0,01;1
Renseanlæg;6C2A0209-2B8C-46B4-BA31-0DC1FE232C37;Svaneke Renseanlæg;32;891540,9996375428;6125519,999413203;Bornholm;Region Hovedstaden;Renseanlæg;Renseanlæg;Østersøen;BORNHOLMS SPILDEVAND A/S;Bornholms Regionskommune;https://puls.miljoeportal.dk/wwtps/6c2a0209-2b8c-46b4-ba31-0dc1fe232c37/examination-details/80823128-b9ec-4bf6-9a9e-70a630c90575;11-08-2024;2146713851;;Udløb;Svaneke Renseanlæg Afløb;32;891790,999635821;6124957,999411327;Mængdeproportional prøve;Afventer kontrol;Opløst - filtrat fra filtrering;;256;Orthophosphat-P;;0,15;mg/l;;0,005;1
Renseanlæg;6C2A0209-2B8C-46B4-BA31-0DC1FE232C37;Svaneke Renseanlæg;32;891540,9996375428;6125519,999413203;Bornholm;Region Hovedstaden;Renseanlæg;Renseanlæg;Østersøen;BORNHOLMS SPILDEVAND A/S;Bornholms Regionskommune;https://puls.miljoeportal.dk/wwtps/6c2a0209-2b8c-46b4-ba31-0dc1fe232c37/examination-details/80823128-b9ec-4bf6-9a9e-70a630c90575;11-08-2024;2146713851;;Udløb;Svaneke Renseanlæg Afløb;32;891790,999635821;6124957,999411327;Mængdeproportional prøve;Afventer kontrol;Total;;1839;pH-målingstemperatur;;20;grader C;;0;1
Renseanlæg;6C2A0209-2B8C-46B4-BA31-0DC1FE232C37;Svaneke Renseanlæg;32;891540,9996375428;6125519,999413203;Bornholm;Region Hovedstaden;Renseanlæg;Renseanlæg;Østersøen;BORNHOLMS SPILDEVAND A/S;Bornholms Regionskommune;https://puls.miljoeportal.dk/wwtps/6c2a0209-2b8c-46b4-ba31-0dc1fe232c37/examination-details/80823128-b9ec-4bf6-9a9e-70a630c90575;11-08-2024;2146713851;;Udløb;Svaneke Renseanlæg Afløb;32;891790,999635821;6124957,999411327;Mængdeproportional prøve;Afventer kontrol;Total;;7;Bundfald eft. 2 tim.;<;0,1;ml/l;;0,1;1
